iter	Passed	Remaining
854	1070	181
855	1071	180
856	1072	179
857	1074	177
858	1075	176
859	1076	175
860	1077	173
861	1078	172
862	1079	171
863	1080	170
864	1081	168
865	1082	167
866	1083	166
867	1085	165
868	1087	163
869	1088	162
870	1090	161
871	1091	160
872	1092	158
873	1094	157
874	1095	156
875	1096	155
876	1097	153
877	1098	152
878	1102	151
879	1103	150
880	1104	149
881	1106	148
882	1107	146
883	1108	145
884	1109	144
885	1110	142
886	1112	141
887	1113	140
888	1116	139
889	1117	138
890	1118	136
891	1119	135
892	1121	134
893	1123	133
894	1125	132
895	1126	130
896	1128	129
897	1129	128
898	1130	126
899	1131	125
900	1132	124
901	1133	123
902	1136	122
903	1137	120
904	1138	119
905	1140	118
906	1141	116
907	1141	115
908	1142	114
909	1144	113
910	1145	111
911	1146	110
912	1148	109
913	1149	108
914	1151	106
915	1153	105
916	1154	104
917	1155	103
918	1156	101
919	1157	100
920	1158	99
921	1159	98
922	1161	96
923	1161	95
924	1162	94
925	1163	93
926	1168	92
927	1171	90
928	1172	89
929	1173	88
930	1174	87
931	1175	85
932	1176	84
933	1177	83
934	1178	81
935	1179	80
936	1181	79
937	1182	78
938	1183	76
939	1184	75
940	1185	74
941	1187	73
942	1188	71
943	1190	70
944	1191	69
945	1192	68
946	1193	66
947	1194	65
948	1198	64
949	1199	63
950	1201	61
951	1202	60
952	1202	59
953	1204	58
954	1205	56
955	1206	55
956	1207	54
957	1208	52
958	1210	51
959	1212	50
960	1216	49
961	1217	48
962	1219	46
963	1220	45
964	1221	44
965	1222	43
966	1223	41
967	1224	40
968	1226	39
969	1228	37
970	1230	36
971	1232	35
972	1233	34
973	1235	32
974	1237	31
975	1238	30
976	1239	29
977	1241	27
978	1243	26
979	1244	25
980	1245	24
981	1246	22
982	1247	21
983	1249	20
984	1250	19
985	1251	17
986	1252	16
987	1253	15
988	1255	13
989	1257	12
990	1257	11
991	1258	10
992	1259	8
993	1260	7
994	1261	6
995	1262	5
996	1263	3
997	1264	2
998	1265	1
999	1265	0
